CHEM_ID	LIB_ID	COMP_ID	CHRO_LIB_ENTRY_ID	SUPER_PATHWAY	SUB_PATHWAY	PATHWAY_SORTORDER	TYPE	INCHIKEY	SMILES	CHEMICAL_NAME	PLOT_NAME	LIPID SPECIES LEVEL	LIPID MOLECULAR SPECIES LEVEL	LIPID SN POSITION LEVEL	CAS	CHEMSPIDER	HMDB	KEGG	PUBCHEM	PLATFORM
100000639	402	19265	180966	Lipid	Phosphatidylserine (PS)	2528	NAMED	AJFWREUFUPEYII-PAHWMLEVSA-N	CCCCCCCCCCCCCCCCCC(OC[C@]([H])(COP(O)(OC[C@]([NH3+])(C([O-])=O)[H])=O)OC(CCCCCCC/C=C\CCCCCCCC)=O)=O	1-stearoyl-2-oleoyl-GPS (18:0/18:1)	1-stearoyl-2-oleoyl-GPS (18:0/18:1)	PS 36:1	PS 18:0_18:1	Unknown		7826037	HMDB0010163		9547087	Pos Late
100000642	402	53009	166338	Lipid	Phosphatidylserine (PS)	2529	NAMED	AGTPCXBHIGMTEU-NREGDSCDSA-N	CCCCC\C=C/C\C=C/CCCCCCCC(O[C@](COC(CCCCCCCCCCCCCCCCC)=O)(COP(O)(OC[C@]([NH3+])(C([O-])=O)[H])=O)[H])=O	1-stearoyl-2-linoleoyl-GPS (18:0/18:2)	1-stearoyl-2-linoleoyl-GPS (18:0/18:2)	PS 36:2	PS 18:0_18:2	Unknown	322647-11-0	7826041			9547091	Pos Late
100000656	209	19324	128173	Lipid	Lysophospholipid	2744	NAMED	MXAFDFDAIFZFET-CLBYPKMISA-N	[H]C(C(O)(C(O)([C@](O)1[H])[H])[H])([C@@](OP(O)(OC[C@@]([H])(COC(CCCCCCCCCCCCCCCCC)=O)O)=O)([C@]1(O)[H])[H])O	1-stearoyl-GPI (18:0)	1-stearoyl-GPI (18:0)	LPI 18:0	LPI 18:0	LPI 18:0/0:0	796963-93-4	21403067	HMDB0240261		"71581135,42607495"	Neg
100000657	402	19130	164201	Lipid	Phosphatidylcholine (PC)	2301	NAMED	KILNVBDSWZSGLL-KXQOOQHDSA-N	CCCCCCCCCCCCCCCC(OC[C@]([H])(COP([O-])(OCC[N+](C)(C)C)=O)OC(CCCCCCCCCCCCCCC)=O)=O	"1,2-dipalmitoyl-GPC (16:0/16:0)"	"1,2-dipalmitoyl-GPC (16:0/16:0)"	PC 32:0	PC 16:0_16:0	PC 16:0/16:0	63-89-8	398235	HMDB0000564	D03585	452110	Pos Late
100000665	209	44675	126139	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	1586	NAMED	MBMBGCFOFBJSGT-KUBAVDMBSA-N	CC\C=C/C\C=C/C\C=C/C/C=C\C/C=C\C/C=C\CCC(O)=O	docosahexaenoate (DHA; 22:6n3)	docosahexaenoate (DHA; 22:6n3)				6217-54-5	393183	HMDB0002183	C06429	445580	Neg
100000672	402	19258	164196	Lipid	Phosphatidylcholine (PC)	2285	NAMED	RFVFQQWKPSOBED-PSXMRANNSA-N	CCCCCCCCCCCCCCCC(O[C@](COC(CCCCCCCCCCCCC)=O)(COP([O-])(OCC[N+](C)(C)C)=O)[H])=O	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	PC 30:0	PC 14:0_16:0	Unknown	69525-80-0	114798	HMDB0007869		129657	Pos Late
100000711	209	44620	126992	Xenobiotics	Benzoate Metabolism	4552	NAMED	HOFGLAYWQRGTKC-UHFFFAOYSA-N	O=S(OC1=CC=C(C(C)=O)C=C1)(O)=O	4-acetylphenol sulfate	4-acetylphenyl sulfate					3872009			4684006	Neg
100000743	209	22036	126061	Lipid	"Fatty Acid, Monohydroxy"	1983	NAMED	JKRDADVRIYVCCY-UHFFFAOYSA-N	O=C(C(CCCCCC)O)O	2-hydroxyoctanoate	2-hydroxyoctanoate				617-73-2	84994	HMDB0002264		"94180,6995013,5312860"	Neg
100000749	305	27732	147556	Cofactors and Vitamins	Pterin Metabolism	4427	NAMED	GLKCOBIIZKYKFN-UHFFFAOYSA-N	NC1=NC2=C(C(O)=N1)N=CC(O)=N2	isoxanthopterin	isoxanthopterin				529-69-1	10277	HMDB0000704	C03975	135398700	Polar
100000773	209	22001	126860	Lipid	"Fatty Acid, Monohydroxy"	2003	NAMED	NDPLAKGOSZHTPH-UHFFFAOYSA-N	OC(CC(O)=O)CCCCC	3-hydroxyoctanoate	3-hydroxyoctanoate				88930-08-9	24791	HMDB0001954	C20793	26613	Neg
100000776	402	44681	159624	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)"	1887	NAMED	XOMRRQXKHMYMOC-UHFFFAOYSA-N	[O-]C(CC(OC(CCCCCCCCCCCCCCC)=O)C[N+](C)(C)C)=O	palmitoylcarnitine (C16)	palmitoylcarnitine (C16)				6865-14-1	448	HMDB0000222	C02990	461	Pos Late
100000781	400	32328	155906	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"	1867	NAMED	VVPRQWTYSNDTEA-UHFFFAOYSA-N	O=C(CCCCC)OC(CC([O-])=O)C[N+](C)(C)C	hexanoylcarnitine (C6)	hexanoylcarnitine (C6)				6920-35-0	4932273	HMDB0000756		6426853	Pos Early
100000784	400	22206	155811	Xenobiotics	Food Component/Plant	5110	NAMED	DATAGRPVKZEWHA-YFKPBYRVSA-N	N[C@@H](CCC(NCC)=O)C(O)=O	theanine	theanine				3081-61-6	388498	HMDB0034365	C01047	439378	Pos Early
100000787	305	22185	147184	Amino Acid	Alanine and Aspartate Metabolism	37	NAMED	OTCCIMWXFLJLIA-BYPYZUCNSA-N	OC([C@@H](NC(C)=O)CC(O)=O)=O	N-acetylaspartate (NAA)	N-acetylaspartate (NAA)				"997-55-7,997-55-7"	58576	HMDB0000812	C01042	65065	Polar
100000788	305	20677	160481	Carbohydrate	Disaccharides and Oligosaccharides	1359	NAMED	JCQLYHFGKNRPGE-UHFFFAOYSA-N	OC1C(CO)OC(OC2C(O)C(CO)(O)OC2CO)C(O)C1O	lactulose	lactulose				4618-18-2	10856	HMDB0000740	"D00352,C07064"	11333	Polar
100000790	400	22174	238367	Xenobiotics	Drug - Antibiotic	5587	NAMED	QRXWMOHMRWLFEY-UHFFFAOYSA-N	O=C(C1=CC=NC=C1)NN	isoniazid	isoniazid				54-85-3	3635	HMDB15086	C07054	3767	Pos Early
100000792	209	32425	124935	Lipid	Androgenic Steroids	3369	NAMED	CZWCKYRVOZZJNM-DYIPZHMLSA-N	[H][C@@]1(CC[C@]2(C)[C@]3(CCC2=O)[H])[C@@]4(C)C(C[C@H](OS(=O)(O)=O)CC4)=CC[C@]13[H]	dehydroepiandrosterone sulfate (DHEA-S)	dehydroepiandrosterone sulfate (DHEA-S)				651-48-9	12074	HMDB0001032	C04555	12594	Neg
100000802	400	32198	155890	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Short Chain)"	1863	NAMED	RDHQFKQIGNGIED-MRVPVSSYSA-N	C[N+](C)(C)C[C@H](OC(C)=O)CC([O-])=O	acetylcarnitine (C2)	acetylcarnitine (C2)				5080-50-2	5406074	HMDB0000201	C02571	7045767	Pos Early
100000808	305	22176	165753	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	468	NAMED	NOKPBJYHPHHWAN-REOHCLBHSA-N	N[C@H](C(O)=O)CSS(O)(=O)=O	cysteine s-sulfate	cysteine s-sulfate				1637-71-4	102939	HMDB0000731	C05824	115015	Polar
100000826	305	20685	145782	Carbohydrate	Disaccharides and Oligosaccharides	1330	NAMED	JYTUSYBCFIZPBE-FKNOEWBLSA-N	O[C@H]([C@@H](O)[C@H](OC(C(CO)O)C(O)C(O)C(O)=O)O[C@@H]1CO)[C@H]1O	lactobionate	lactobionate				96-82-2	7040			7314	Polar
100000827	209	21127	126053	Lipid	Monoacylglycerol	2878	NAMED	QHZLMUACJMDIAE-UHFFFAOYSA-N	O=C(CCCCCCCCCCCCCCC)OCC(O)CO	1-palmitoylglycerol (16:0)	1-palmitoylglycerol (16:0)	MG 16:0	MG 16:0	MG 16:0/0:0/0:0	542-44-9	14201	HMDB0011564		14900	Neg
100000840	209	20693	143841	Xenobiotics	Food Component/Plant	5242	NAMED	ROBFUDYVXSDBQM-UHFFFAOYSA-N	O=C(C(O)C(O)=O)O	tartronate (hydroxymalonate)	tartronate (hydroxymalonate)				80-69-3	44	HMDB0035227	C02287	45	Neg
100000841	209	20694	143843	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	4390	NAMED	MUBZPKHOEPUJKR-UHFFFAOYSA-N	O=C(O)C(O)=O	oxalate (ethanedioate)	oxalate (ethanedioate)				144-62-7	946	HMDB0002329	C00209	971	Neg
100000846	305	20699	146508	Xenobiotics	Food Component/Plant	4930	NAMED	UNXHWFMMPAWVPI-UHFFFAOYSA-N	OCC(O)C(CO)O	erythritol	erythritol				149-32-6	13835932	HMDB0002994	C00503	222285	Polar
100000882	209	21158	152464	Lipid	"Fatty Acid, Monohydroxy"	2009	NAMED	ATRNZOYKSNPPBF-UHFFFAOYSA-N	CCCCCCCCCCCC(O)CC(O)=O	3-hydroxymyristate	3-hydroxymyristate				3422-31-9	15252	HMDB0061656		16064	Neg
100000924	209	21184	126057	Lipid	Monoacylglycerol	2882	NAMED	RZRNAYUHWVFMIP-KTKRTIGZSA-N	O=C(OCC(O)CO)CCCCCCC/C=C\CCCCCCCC	1-oleoylglycerol (18:1)	1-oleoylglycerol (18:1)	MG 18:1	MG 18:1	MG 18:1/0:0/0:0	111-03-5	4446588	HMDB0011567		5283468	Neg
100000936	305	44526	147248	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	429	NAMED	QHKABHOOEWYVLI-UHFFFAOYSA-N	OC(C(C(C)C)=O)=O	3-methyl-2-oxobutyrate	3-methyl-2-oxobutyrate				3715-29-5	48	HMDB0000019	C00141	49	Polar
100000943	209	21232	126858	Lipid	Monoacylglycerol	2898	NAMED	UPWGQKDVAURUGE-KTKRTIGZSA-N	O=C(OC(CO)CO)CCCCCCC/C=C\CCCCCCCC	2-oleoylglycerol (18:1)	2-oleoylglycerol (18:1)	MG 18:1	MG 18:1	MG 0:0/18:1/0:0	3443-84-3	4478086	HMDB0011537		5319879	Neg
100000961	400	22137	155792	Amino Acid	Urea cycle; Arginine and Proline Metabolism	501	NAMED	QUOGESRFPZDMMT-YFKPBYRVSA-N	N[C@H](C(O)=O)CCCCNC(N)=N	homoarginine	homoarginine				156-86-5	8732	HMDB0000670	C01924	9085	Pos Early
100000963	400	22138	155793	Amino Acid	Urea cycle; Arginine and Proline Metabolism	502	NAMED	XIGSAGMEBXLVJJ-YFKPBYRVSA-N	N[C@H](C(O)=O)CCCCNC(N)=O	homocitrulline	homocitrulline				1190-49-4	58582	HMDB0000679	C02427	65072	Pos Early
100000987	209	32506	125864	Lipid	Monoacylglycerol	2899	NAMED	IEPGNWMPIFDNSD-HZJYTTRNSA-N	O=C(OC(CO)CO)CCCCCCC/C=C\C/C=C\CCCCC	2-linoleoylglycerol (18:2)	2-linoleoylglycerol (18:2)	MG 18:2	MG 18:2	MG 0:0/18:2/0:0	3443-82-1	4517636	HMDB0011538		5365676	Neg
100000997	209	22053	123301	Lipid	"Fatty Acid, Monohydroxy"	2005	NAMED	FYSSBMZUBSBFJL-UHFFFAOYSA-N	OC(CC(O)=O)CCCCCCC	3-hydroxydecanoate	3-hydroxydecanoate				5561-87-5	24790	HMDB0002203		26612	Neg
100001006	305	27710	146518	Amino Acid	"Glycine, Serine and Threonine Metabolism"	2	NAMED	OKJIRPAQVSHGFK-UHFFFAOYSA-N	O=C(O)C(NC(C)=O)[H]	N-acetylglycine	N-acetylglycine				543-24-8	10507	HMDB0000532		10972	Polar
100001007	305	27731	147186	Carbohydrate	Pentose Metabolism	1281	NAMED	QXKAIJAYHKCRRA-BXXZVTAOSA-N	OC([C@H](O)[C@H](O)[C@H](O)CO)=O	ribonate	ribonate				5336-08-3	4574162	HMDB0000867	C01685	5460677	Polar
100001022	305	27738	146524	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	4387	NAMED	JPIJQSOTBSSVTP-UHFFFAOYSA-N	O=C(O)C(O)([H])C([H])(O)CO	threonate	threonate				70753-61-6	133224	"HMDB0062620,HMDB0000943"	C01620	"151152,5460407"	Polar
100001026	305	27719	152158	Carbohydrate	"Fructose, Mannose and Galactose Metabolism"	1391	NAMED	RGHNJXZEOKUKBD-MGCNEYSASA-N	O[C@H]([C@H]([C@H]([C@@H](CO)O)O)O)C(O)=O	galactonate	galactonate				299-28-5	114198	HMDB0000565	"C00880,C15930"	"12310779,128869"	Polar
100001029	305	27728	146522	Xenobiotics	Chemical	6202	NAMED	DHCLVCXQIBBOPH-UHFFFAOYSA-N	OCC(OP(O)(O)=O)CO	glycerol 2-phosphate	glycerol 2-phosphate				819-83-0	2431	HMDB0002520	C02979	"3611397,2526"	Polar
100001034	400	27513	155821	Amino Acid	Tryptophan Metabolism	305	NAMED	SEOVTRFCIGRIMH-UHFFFAOYSA-N	OC(CC1=CNC2=C1C=CC=C2)=O	indoleacetate	indoleacetate				"87-51-4,6505-45-9"	780	HMDB0000197	C00954	802	Pos Early
100001040	209	27447	126071	Lipid	Monoacylglycerol	2883	NAMED	WECGLUPZRHILCT-HZJYTTRNSA-N	CCCCC/C=C\C/C=C\CCCCCCCC(OCC(O)CO)=O	1-linoleoylglycerol (18:2)	1-linoleoylglycerol (18:2)	MG 18:2	MG 18:2	MG 18:2/0:0/0:0	2277-28-3	4446589	HMDB0011568		5283469	Neg
100001048	209	33419	125868	Lipid	Monoacylglycerol	2895	NAMED	BBNYCLAREVXOSG-UHFFFAOYSA-N	OCC(CO)OC(CCCCCCCCCCCCCCC)=O	2-palmitoylglycerol (16:0)	2-palmitoylglycerol (16:0)	MG 16:0	MG 16:0	MG 0:0/16:0/0:0	23470-00-0	110006	HMDB0011533		123409	Neg
100001051	400	30460	155848	Amino Acid	Histidine Metabolism	74	NAMED	BRMWTNUJHUMWMS-LURJTMIESA-N	N[C@H](C(O)=O)CC1=CN(C)C=N1	1-methylhistidine	1-methylhistidine				332-80-9	83153	HMDB0000001	C01152	92105	Pos Early
100001054	400	32412	155935	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	1791	NAMED	QWYFHHGCZUCMBN-SECBINFHSA-N	CCCC(O[C@H](CC([O-])=O)C[N+](C)(C)C)=O	butyrylcarnitine (C4)	butyrylcarnitine (C4)				25576-40-3	184820	HMDB0002013	C02862	439829	Pos Early
100001055	400	33441	156017	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	432	NAMED	LRCNOZRCYBNMEP-VIFPVBQESA-N	CC(C)C(O[C@@H](CC([O-])=O)C[N+](C)(C)C)=O	isobutyrylcarnitine (C4)	isobutyrylcarnitine (C4)				25518-49-4		HMDB0000736		168379	Pos Early
100001086	305	31536	180879	Xenobiotics	Food Component/Plant	5003	NAMED	KSPQDMRTZZYQLM-UHFFFAOYSA-N	O=C(NCC(O)=O)C1=CC=CO1	N-(2-furoyl)glycine	N-(2-furoyl)glycine				"5657-19-2,5657-19-2"	20549	HMDB0000439		21863	Polar
100001092	400	32401	155930	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	4355	NAMED	WWNNZCOKKKDOPX-UHFFFAOYSA-N	C[N+]1=CC(C([O-])=O)=CC=C1	trigonelline (N'-methylnicotinate)	trigonelline (N'-methylnicotinate)				535-83-1	5369	HMDB0000875	C01004	5570	Pos Early
100001106	209	32391	125804	Xenobiotics	Xanthine Metabolism	4631	NAMED	OTSBKHHWSQYEHK-UHFFFAOYSA-N	CN1C(N(C(N2)=C(C1=O)NC2=O)C)=O	"1,3-dimethylurate"	"1,3-dimethylurate"				944-73-0	63527	HMDB0001857		70346	Neg
100001108	209	32445	125834	Xenobiotics	Xanthine Metabolism	4636	NAMED	GMSNIKWWOQHZGF-UHFFFAOYSA-N	O=C1N(C)C2=C(N=CN2)C(N1)=O	3-methylxanthine	3-methylxanthine				1076-22-8	63805	HMDB0001886	C16357	70639	Neg
100001112	209	32457	151499	Lipid	"Fatty Acid, Monohydroxy"	2008	NAMED	MUCMKTPAZLSKTL-UHFFFAOYSA-N	OC(CC(CCCCCCCCC)O)=O	3-hydroxylaurate	3-hydroxylaurate				53941-38-1	85026	HMDB0000387		94216	Neg
100001121	209	31555	124697	Cofactors and Vitamins	Vitamin B6 Metabolism	4485	NAMED	HXACOUQIXZGNBF-UHFFFAOYSA-N	OC1=C(C(O)=O)C(CO)=CN=C1C	pyridoxate	pyridoxate				82-82-6	6467	HMDB0000017	C00847	6723	Neg
100001122	400	31609	155866	Nucleotide	"Purine Metabolism, Guanine containing"	4223	NAMED	UTAIYTHAJQNQDW-KQYNXXCUSA-N	O=C1C2=C(N=C(N)N1C)N([C@@H]([C@H](O)[C@@H]3O)O[C@@H]3CO)C=N2	N1-methylguanosine	1-methylguanosine				2140-65-0	86996	HMDB0001563		96373	Pos Early
100001126	400	43829	157051	Peptide	Gamma-glutamyl Amino Acid	664	NAMED	AQAKHZVPOOGUCK-XPUUQOCRSA-N	O=C(N[C@H]([C@@](O)=O)C(C)C)CC[C@@H]([C@](O)=O)N	gamma-glutamylvaline	gamma-glutamylvaline				2746-34-1		HMDB0011172		7015683	Pos Early
100001132	209	32394	125806	Peptide	Modified Peptides	1236	NAMED	DTSWLLBBGHRXQH-XPUUQOCRSA-N	O=C1CC[C@@H](C(N[C@@H](C(C)C)C(O)=O)=O)N1	pyroglutamylvaline	pyroglutamylvaline				21282-10-0	134331			152416	Neg
100001150	305	31932	147789	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	1795	NAMED	WOMAZEJKVZLLFE-UHFFFAOYSA-N	O=C(CC)NCC(O)=O	propionylglycine	propionylglycine (C3)				21709-90-0	89122	HMDB0000783		98681	Polar
100001162	400	32452	155955	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	1794	NAMED	UFAHZIUFPNSHSL-UHFFFAOYSA-N	[O-]C(CC(OC(CC)=O)C[N+](C)(C)C)=O	propionylcarnitine (C3)	propionylcarnitine (C3)				17298-37-2	96904	HMDB0000824	C03017	107738	Pos Early
100001170	305	32397	146534	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	411	NAMED	ZMZQVAUJTDKQGE-UHFFFAOYSA-N	O=C(O)C(CC)CO	3-hydroxy-2-ethylpropionate	3-hydroxy-2-ethylpropionate				4374-62-3	164207	HMDB0000396		188979	Polar
100001178	209	31787	142911	Lipid	"Fatty Acid, Dicarboxylate"	1728	NAMED	WMCQWXZMVIETAO-UHFFFAOYSA-N	CCCC1=C(C)C(C(O)=O)=C(CCC(O)=O)O1	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)				86879-39-2	110498	HMDB0061112		123979	Neg
100001181	209	32504	125862	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	1585	NAMED	YUFFSWGQGVEMMI-JLNKQSITSA-N	O=C(O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC	docosapentaenoate (n3 DPA; 22:5n3)	docosapentaenoate (DPA; 22:5n3)				2234-74-4		"HMDB0006528,HMDB0001976"	C16513	6441454	Neg
100001182	209	32415	125824	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	1600	NAMED	HVGRZDASOHMCSK-AVQMFFATSA-N	CCCCC/C=C/C/C=C/CCCCCCCCCCCC(O)=O	docosadienoate (22:2n6)	docosadienoate (22:2n6)				7370-49-2	4445934	HMDB0061714	C16533	5282807	Neg
100001193	209	32980	125866	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	1598	NAMED	TWSWSIQAPQLDBP-CGRWFSSPSA-N	O=C(CCCCC/C=C/C/C=C/C/C=C/C/C=C/CCCCC)O	adrenate (22:4n6)	adrenate (22:4n6)				2091-25-0	4445971	HMDB0002226	C16527	"5282844,5497181"	Neg
100001195	209	32417	125826	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	1587	NAMED	WBBQTNCISCKUMU-IUQGRGSQSA-N	CC/C=C/C/C=C/C/C=C/CCCCCCCCCCCC(O)=O	docosatrienoate (22:3n3)	docosatrienoate (22:3n3)				59708-86-0	4471981	HMDB0002823	C16534	5312556	Neg
100001197	209	32497	125854	Lipid	Medium Chain Fatty Acid	1523	NAMED	FRPZMMHWLSIFAZ-UHFFFAOYSA-N	O=C(CCCCCCCCC=C)O[H]	10-undecenoate (11:1n1)	10-undecenoate (11:1n1)				1333-28-4	10771160	HMDB0033724	C13910	14891	Neg
100001198	209	32418	125828	Lipid	Long Chain Monounsaturated Fatty Acid	1549	NAMED	YWWVWXASSLXJHU-WAYWQWQTSA-N	O=C(CCCCCCC/C=C\CCCC)O	myristoleate (14:1n5)	myristoleate (14:1n5)				544-64-9	4444564	HMDB0002000	C08322	5281119	Neg
100001208	400	32350	155911	Amino Acid	Histidine Metabolism	94	NAMED	ZHCKPJGJQOPTLB-UHFFFAOYSA-N	O=C(O)CC1=CN(C)C=N1	1-methyl-4-imidazoleacetate	1-methyl-4-imidazoleacetate				2625-49-2	68319	HMDB0002820	C05828	75810	Pos Early
100001211	209	32398	125812	Lipid	"Fatty Acid, Dicarboxylate"	1704	NAMED	CXMXRPHRNRROMY-UHFFFAOYSA-N	OC(CCCCCCCCC(O)=O)=O	sebacate (C10-DC)	sebacate (C10-DC)				111-20-6	5004	HMDB0000792	C08277	5192	Neg
100001216	402	33418	164181	Cofactors and Vitamins	Tocopherol Metabolism	4398	NAMED	GZIFEOYASATJEH-VHFRWLAGSA-N	OC1=CC(C)=C2O[C@@](CCC[C@H](C)CCC[C@H](C)CCCC(C)C)(C)CCC2=C1	delta-tocopherol	delta-tocopherol				119-13-1	83144	HMDB0002902	C14151	92094	Pos Late
100001229	209	33969	126890	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	1580	NAMED	JIWBIWFOSCKQMA-LTKCOYKYSA-N	CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(O)=O	stearidonate (18:4n3)	stearidonate (18:4n3)				111174-40-4	4471933	HMDB0006547	C16300	5312508	Neg
100001232	209	33968	126127	Lipid	Medium Chain Fatty Acid	1527	NAMED	IJBFSOLHRKELLR-FPLPWBNLSA-N	CCCCCC\C=C/CCCC(O)=O	5-dodecenoate (12:1n7)	5-dodecenoate (12:1n7)				2430-94-6	4471803	HMDB0000529		5312378	Neg
100001247	402	33936	158581	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"	1875	NAMED	CXTATJFJDMJMIY-UHFFFAOYSA-N	[O-]C(CC(C[N+](C)(C)C)OC(CCCCCCC)=O)=O	octanoylcarnitine (C8)	octanoylcarnitine (C8)				3671-77-0	110274	HMDB0000791	C02838	"123701,11953814"	Pos Late
100001251	402	33941	158585	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"	1883	NAMED	LZOSYCMHQXPBFU-UHFFFAOYSA-N	[O-]C(CC(C[N+](C)(C)C)OC(CCCCCCCCC)=O)=O	decanoylcarnitine (C10)	decanoylcarnitine (C10)				1492-27-9	8420677	HMDB0000651		10245190	Pos Late
100001253	305	33943	146952	Amino Acid	Glutamate Metabolism	50	NAMED	KSMRODHGGIIXDV-YFKPBYRVSA-N	OC([C@H](CCC(N)=O)NC(C)=O)=O	N-acetylglutamine	N-acetylglutamine				2490-97-3	158492	HMDB0006029	C02716	182230	Polar
100001263	402	33955	158599	Lipid	Lysophospholipid	2623	NAMED	ASWBNKHCZGQVJV-UHFFFAOYSA-N	O=P(OCC[N+](C)(C)C)([O-])OCC(O)COC(CCCCCCCCCCCCCCC)=O	1-palmitoyl-GPC (16:0)	1-palmitoyl-GPC (16:0)	LPC 16:0	LPC 16:0	LPC 16:0/0:0	17364-16-8	78064	HMDB0010382	C04102	86554	Pos Late
100001266	400	33953	156051	Amino Acid	Urea cycle; Arginine and Proline Metabolism	507	NAMED	SNEIUMQYRCDYCH-LURJTMIESA-N	O=C(O)[C@@H](NC(C)=O)CCCNC(N)=N	N-acetylarginine	N-acetylarginine				155-84-0	60752	HMDB0004620	C02562	67427	Pos Early
100001270	402	33952	158596	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)"	1885	NAMED	PSHXNVGSVNEJBD-UHFFFAOYSA-N	O=C(CCCCCCCCCCCCC)OC(CC([O-])=O)C[N+](C)(C)C	myristoylcarnitine (C14)	myristoylcarnitine (C14)				18822-89-4	4932274	HMDB0005066		6426854	Pos Late
100001271	402	33961	158603	Lipid	Lysophospholipid	2634	NAMED	IHNKQIMGVNPMTC-RUZDIDTESA-N	O[C@H](COC(CCCCCCCCCCCCCCCCC)=O)COP(OCC[N+](C)(C)C)([O-])=O	1-stearoyl-GPC (18:0)	1-stearoyl-GPC (18:0)	LPC 18:0	LPC 18:0	LPC 18:0/0:0	19420-57-6	435389	HMDB0010384		497300	Pos Late
100001272	402	48258	160285	Lipid	Lysophospholipid	2636	NAMED	YAMUFBLWGFFICM-PTGWMXDISA-N	O[C@H](COC(CCCCCCC/C=C\CCCCCCCC)=O)COP(OCC[N+](C)(C)C)([O-])=O	1-oleoyl-GPC (18:1)	1-oleoyl-GPC (18:1)	LPC 18:1	LPC 18:1	LPC 18:1/0:0	19420-56-5	17240641	HMDB0002815	C03916	16081932	Pos Late
100001274	305	33939	147566	Amino Acid	"Glycine, Serine and Threonine Metabolism"	18	NAMED	PEDXUVCGOLSNLQ-UHFFFAOYSA-N	CC(O)C(C(O)=O)NC(C)=O	N-acetylthreonine	N-acetylthreonine				17093-74-2	3841173	HMDB0062557		152204	Polar
100001277	209	33972	126131	Lipid	Long Chain Monounsaturated Fatty Acid	1563	NAMED	BBOWBNGUEWHNQZ-KTKRTIGZSA-N	O=C(O)CCCCCCCC/C=C\CCCCCCCC	10-nonadecenoate (19:1n9)	10-nonadecenoate (19:1n9)				73033-09-7	4471938	HMDB0013622		5312513	Neg
100001278	209	33971	126129	Lipid	Long Chain Monounsaturated Fatty Acid	1554	NAMED	GDTXICBNEOEPAZ-FPLPWBNLSA-N	O=C(O)CCCCCCCC/C=C\CCCCCC	10-heptadecenoate (17:1n7)	10-heptadecenoate (17:1n7)				29743-97-3	4471860	HMDB0060038		5312435	Neg
100001293	400	33946	156044	Amino Acid	Histidine Metabolism	76	NAMED	KBOJOGQFRVVWBH-ZETCQYMHSA-N	OC([C@@H](NC(C)=O)CC1=CNC=N1)=O	N-acetylhistidine	N-acetylhistidine				39145-52-3	68142	HMDB0032055	C02997	75619	Pos Early
100001296	400	34384	156088	Xenobiotics	Food Component/Plant	5099	NAMED	CMUNUTVVOOHQPW-LURJTMIESA-N	C[N+]1(C)[C@H]([C@@]([O-])=O)CCC1	stachydrine	stachydrine				4136-37-2	103115	HMDB0004827	C10172	115244	Pos Early
100001300	305	46537	146562	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	430	NAMED	NGEWQZIDQIYUNV-UHFFFAOYSA-N	OC(C(O)=O)C(C)C	alpha-hydroxyisovalerate	alpha-hydroxyisovalerate				600-37-3	90190	HMDB0000407		99823	Polar
100001310	400	33013	155997	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	4340	NAMED	BUCXGWMZJBKEMD-UHFFFAOYSA-N	NC(C1=C[N+](C2C(C(C(C[O-])O2)O)O)=CC=C1)=O	nicotinamide riboside	nicotinamide riboside				1341-23-7		HMDB0000855	C03150	439924	Pos Early
