CHEM_ID	LIB_ID	COMP_ID	CHRO_LIB_ENTRY_ID	SUPER_PATHWAY	SUB_PATHWAY	PATHWAY_SORTORDER	TYPE	INCHIKEY	SMILES	CHEMICAL_NAME	PLOT_NAME	CAS	CHEMSPIDER	HMDB	KEGG	PUBCHEM	PLATFORM
100000447	305	18280	152144	Amino Acid	Tyrosine Metabolism	224	NAMED	WXTMDXOMEHJXQO-UHFFFAOYSA-N	O=C(O)C1=CC(O)=CC=C1O	gentisate	gentisate	490-79-9	3350	HMDB0000152	C00628	3469	Polar
100000453	400	18254	155639	Xenobiotics	Xanthine Metabolism	4620	NAMED	QUNWUDVFRNGTCO-UHFFFAOYSA-N	O=C(N2C)NC1=C(N(C)C=N1)C2=O	paraxanthine	paraxanthine	611-59-6	4525	HMDB0001860	C13747	4687	Pos Early
100000454	400	18319	155648	Amino Acid	Lysine Metabolism	138	NAMED	JJMDCOVWQOJGCB-UHFFFAOYSA-N	OC(CCCCN)=O	5-aminovalerate	5-aminovalerate	660-88-8	135	HMDB0003355	C00431	138	Pos Early
100000463	209	18349	124659	Amino Acid	Tryptophan Metabolism	303	NAMED	XGILAAMKEQUXLS-UHFFFAOYSA-N	OC(C(O)=O)CC1=CNC2=C1C=CC=C2	indolelactate	indolelactate	832-97-3	83867	HMDB0000671	C02043	92904	Neg
100000467	209	27672	123315	Amino Acid	Tryptophan Metabolism	327	NAMED	BXFFHSIDQOFMLE-UHFFFAOYSA-N	O=S(OC2=CNC1=CC=CC=C12)(O)=O	3-indoxyl sulfate	3-indoxyl sulfate	2642-37-7	9840	HMDB0000682		10258	Neg
100000551	209	22116	124905	Amino Acid	Leucine, Isoleucine and Valine Metabolism	348	NAMED	BKAJNAXTPSGJCU-UHFFFAOYSA-N	CC(C)CC(C(O)=O)=O	4-methyl-2-oxopentanoate	4-methyl-2-oxopentanoate	816-66-0	69	HMDB0000695	C00233	70	Neg
100000580	209	20675	123293	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	1237	NAMED	MPCAJMNYNOGXPB-SLPGGIOYSA-N	O[C@@H]1[C@@H](CO)OC[C@H](O)[C@H]1O	1,5-anhydroglucitol (1,5-AG)	1,5-anhydroglucitol (1,5-AG)	154-58-5		HMDB0002712	C07326	64960	Neg
100000584	209	19266	125764	Lipid	Monoacylglycerol	2898	NAMED	RCRCTBLIHCHWDZ-DOFZRALJSA-N	CCCCC\C=C/C\C=C/C\C=C/C/C=C\CCCC(OC(CO)CO)=O	2-arachidonoylglycerol (20:4)	2-arachidonoylglycerol (20:4)	53847-30-6	4445451	HMDB0004666	C13856	5282280	Neg
100000611	402	20458	164193	Lipid	Lysoplasmalogen	2853	NAMED	VLBPIWYTPAXCFJ-XMMPIXPASA-N	CCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(OCC[N+](C)(C)C)=O)O	1-palmityl-GPC (O-16:0)	1-palmityl-GPC (O-16:0)	52691-62-0	3845			3983	Pos Late
100000616	305	52449	165112	Lipid	Phosphatidylinositol (PI)	2578	NAMED	KRTOMQDUKGRFDJ-YKOKTLGVSA-N	CCCCCCCCCCCCCCCCCC(OC[C@]([H])(COP(O)(O[C@](C(O)(C(O)(C(O)([C@](O)1[H])[H])[H])[H])([C@]1(O)[H])[H])=O)OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)=O	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	383907-33-3	21403055	HMDB0009815			Polar
100000630	209	19260	126848	Lipid	Lysophospholipid	2725	NAMED	JZWNYZVVZXZRRH-YFKVPUFHSA-N	CCCCCCCC\C=C/CCCCCCCC(OC[C@]([H])(COP(O)(OC[C@]([NH3+])(C([O-])=O)[H])=O)O)=O	1-oleoyl-GPS (18:1)	1-oleoyl-GPS (18:1)	326589-90-6	7826049	HMDB0061694		85036846	Neg
100000639	402	19265	180966	Lipid	Phosphatidylserine (PS)	2527	NAMED	AJFWREUFUPEYII-PAHWMLEVSA-N	CCCCCCCCCCCCCCCCCC(OC[C@]([H])(COP(O)(OC[C@]([NH3+])(C([O-])=O)[H])=O)OC(CCCCCCC/C=C\CCCCCCCC)=O)=O	1-stearoyl-2-oleoyl-GPS (18:0/18:1)	1-stearoyl-2-oleoyl-GPS (18:0/18:1)		7826037	HMDB0010163		9547087	Pos Late
100000642	402	53009	166338	Lipid	Phosphatidylserine (PS)	2528	NAMED	AGTPCXBHIGMTEU-NREGDSCDSA-N	CCCCC\C=C/C\C=C/CCCCCCCC(O[C@](COC(CCCCCCCCCCCCCCCCC)=O)(COP(O)(OC[C@]([NH3+])(C([O-])=O)[H])=O)[H])=O	1-stearoyl-2-linoleoyl-GPS (18:0/18:2)	1-stearoyl-2-linoleoyl-GPS (18:0/18:2)	322647-11-0	7826041			9547091	Pos Late
100000656	209	19324	128173	Lipid	Lysophospholipid	2743	NAMED	MXAFDFDAIFZFET-CLBYPKMISA-N	[H]C(C(O)(C(O)([C@](O)1[H])[H])[H])([C@@](OP(O)(OC[C@@]([H])(COC(CCCCCCCCCCCCCCCCC)=O)O)=O)([C@]1(O)[H])[H])O	1-stearoyl-GPI (18:0)	1-stearoyl-GPI (18:0)	796963-93-4	21403067	HMDB0240261		71581135,42607495	Neg
100000657	402	19130	164201	Lipid	Phosphatidylcholine (PC)	2300	NAMED	KILNVBDSWZSGLL-KXQOOQHDSA-N	CCCCCCCCCCCCCCCC(OC[C@]([H])(COP([O-])(OCC[N+](C)(C)C)=O)OC(CCCCCCCCCCCCCCC)=O)=O	1,2-dipalmitoyl-GPC (16:0/16:0)	1,2-dipalmitoyl-GPC (16:0/16:0)	63-89-8	398235	HMDB0000564	D03585	452110	Pos Late
100000665	209	44675	126139	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	1585	NAMED	MBMBGCFOFBJSGT-KUBAVDMBSA-N	CC\C=C/C\C=C/C\C=C/C/C=C\C/C=C\C/C=C\CCC(O)=O	docosahexaenoate (DHA; 22:6n3)	docosahexaenoate (DHA; 22:6n3)	6217-54-5	393183	HMDB0002183	C06429	445580	Neg
100000672	402	19258	164196	Lipid	Phosphatidylcholine (PC)	2284	NAMED	RFVFQQWKPSOBED-PSXMRANNSA-N	CCCCCCCCCCCCCCCC(O[C@](COC(CCCCCCCCCCCCC)=O)(COP([O-])(OCC[N+](C)(C)C)=O)[H])=O	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	69525-80-0	114798	HMDB0007869		129657	Pos Late
100000711	209	44620	126992	Xenobiotics	Benzoate Metabolism	4546	NAMED	HOFGLAYWQRGTKC-UHFFFAOYSA-N	O=S(OC1=CC=C(C(C)=O)C=C1)(O)=O	4-acetylphenol sulfate	4-acetylphenyl sulfate		3872009			4684006	Neg
100000749	305	27732	147556	Cofactors and Vitamins	Pterin Metabolism	4421	NAMED	GLKCOBIIZKYKFN-UHFFFAOYSA-N	NC1=NC2=C(C(O)=N1)N=CC(O)=N2	isoxanthopterin	isoxanthopterin	529-69-1	10277	HMDB0000704	C03975	135398700	Polar
100000773	209	22001	126860	Lipid	Fatty Acid, Monohydroxy	2002	NAMED	NDPLAKGOSZHTPH-UHFFFAOYSA-N	OC(CC(O)=O)CCCCC	3-hydroxyoctanoate	3-hydroxyoctanoate	88930-08-9	24791	HMDB0001954	C20793	26613	Neg
100000776	402	44681	159624	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)	1886	NAMED	XOMRRQXKHMYMOC-UHFFFAOYSA-N	[O-]C(CC(OC(CCCCCCCCCCCCCCC)=O)C[N+](C)(C)C)=O	palmitoylcarnitine (C16)	palmitoylcarnitine (C16)	6865-14-1	448	HMDB0000222	C02990	461	Pos Late
100000781	400	32328	155906	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)	1866	NAMED	VVPRQWTYSNDTEA-UHFFFAOYSA-N	O=C(CCCCC)OC(CC([O-])=O)C[N+](C)(C)C	hexanoylcarnitine (C6)	hexanoylcarnitine (C6)	6920-35-0	4932273	HMDB0000756		6426853	Pos Early
100000784	400	22206	155811	Xenobiotics	Food Component/Plant	5104	NAMED	DATAGRPVKZEWHA-YFKPBYRVSA-N	N[C@@H](CCC(NCC)=O)C(O)=O	theanine	theanine	3081-61-6	388498	HMDB0034365	C01047	439378	Pos Early
100000788	305	20677	160481	Carbohydrate	Disaccharides and Oligosaccharides	1358	NAMED	JCQLYHFGKNRPGE-UHFFFAOYSA-N	OC1C(CO)OC(OC2C(O)C(CO)(O)OC2CO)C(O)C1O	lactulose	lactulose	4618-18-2	10856	HMDB0000740	D00352,C07064	11333	Polar
100000790	400	22174	238367	Xenobiotics	Drug - Antibiotic	5581	NAMED	QRXWMOHMRWLFEY-UHFFFAOYSA-N	O=C(C1=CC=NC=C1)NN	isoniazid	isoniazid	54-85-3	3635	HMDB15086	C07054	3767	Pos Early
100000792	209	32425	124935	Lipid	Androgenic Steroids	3363	NAMED	CZWCKYRVOZZJNM-DYIPZHMLSA-N	[H][C@@]1(CC[C@]2(C)[C@]3(CCC2=O)[H])[C@@]4(C)C(C[C@H](OS(=O)(O)=O)CC4)=CC[C@]13[H]	dehydroepiandrosterone sulfate (DHEA-S)	dehydroepiandrosterone sulfate (DHEA-S)	651-48-9	12074	HMDB0001032	C04555	12594	Neg
100000802	400	32198	155890	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Short Chain)	1862	NAMED	RDHQFKQIGNGIED-MRVPVSSYSA-N	C[N+](C)(C)C[C@H](OC(C)=O)CC([O-])=O	acetylcarnitine (C2)	acetylcarnitine (C2)	5080-50-2	5406074	HMDB0000201	C02571	7045767	Pos Early
100000826	305	20685	145782	Carbohydrate	Disaccharides and Oligosaccharides	1329	NAMED	JYTUSYBCFIZPBE-FKNOEWBLSA-N	O[C@H]([C@@H](O)[C@H](OC(C(CO)O)C(O)C(O)C(O)=O)O[C@@H]1CO)[C@H]1O	lactobionate	lactobionate	96-82-2	7040			7314	Polar
100000827	209	21127	126053	Lipid	Monoacylglycerol	2876	NAMED	QHZLMUACJMDIAE-UHFFFAOYSA-N	O=C(CCCCCCCCCCCCCCC)OCC(O)CO	1-palmitoylglycerol (16:0)	1-palmitoylglycerol (16:0)	542-44-9	14201	HMDB0011564		14900	Neg
100000838	209	21300	144862	Xenobiotics	Food Component/Plant	5122	NAMED	QUQPHWDTPGMPEX-TXMCEDIYSA-N	O=C1C(C(O)=CC(O[C@H]2[C@H](O)[C@@H](O)[C@H](O)C(CO[C@H]3[C@H](O)[C@H](O)[C@@H](O)C(C)O3)O2)=C4)=C4OC(C5=CC(O)=C(OC)C=C5)C1	hesperidin (hesperetin 7-rutinoside)	hesperidin	520-26-3	10176	HMDB0003265	G00283,D01038	10621	Neg
100000840	209	20693	143841	Xenobiotics	Food Component/Plant	5236	NAMED	ROBFUDYVXSDBQM-UHFFFAOYSA-N	O=C(C(O)C(O)=O)O	tartronate (hydroxymalonate)	tartronate (hydroxymalonate)	80-69-3	44	HMDB0035227	C02287	45	Neg
100000841	209	20694	143843	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	4384	NAMED	MUBZPKHOEPUJKR-UHFFFAOYSA-N	O=C(O)C(O)=O	oxalate (ethanedioate)	oxalate (ethanedioate)	144-62-7	946	HMDB0002329	C00209	971	Neg
100000846	305	20699	146508	Xenobiotics	Food Component/Plant	4924	NAMED	UNXHWFMMPAWVPI-UHFFFAOYSA-N	OCC(O)C(CO)O	erythritol	erythritol	149-32-6	13835932	HMDB0002994	C00503	222285	Polar
100000856	400	20710	155713	Xenobiotics	Chemical	6243	NAMED	LENZDBCJOHFCAS-UHFFFAOYSA-N	NC(CO)(CO)CO	trizma acetate	trizma acetate	6850-28-8	73346		C07182	16218782	Pos Early
100000860	400	20715	155716	Lipid	Fatty Acid, Amino	1771	NAMED	SLXKOJJOQWFEFD-UHFFFAOYSA-N	NCCCCCC(O)=O	6-aminocaproate	6-aminocaproate	60-32-2	548	HMDB0001901	C02378	564	Pos Early
100000882	209	21158	152464	Lipid	Fatty Acid, Monohydroxy	2008	NAMED	ATRNZOYKSNPPBF-UHFFFAOYSA-N	CCCCCCCCCCCC(O)CC(O)=O	3-hydroxymyristate	3-hydroxymyristate	3422-31-9	15252	HMDB0061656		16064	Neg
100000924	209	21184	126057	Lipid	Monoacylglycerol	2880	NAMED	RZRNAYUHWVFMIP-KTKRTIGZSA-N	O=C(OCC(O)CO)CCCCCCC/C=C\CCCCCCCC	1-oleoylglycerol (18:1)	1-oleoylglycerol (18:1)	111-03-5	4446588	HMDB0011567		5283468	Neg
100000936	305	44526	147248	Amino Acid	Leucine, Isoleucine and Valine Metabolism	428	NAMED	QHKABHOOEWYVLI-UHFFFAOYSA-N	OC(C(C(C)C)=O)=O	3-methyl-2-oxobutyrate	3-methyl-2-oxobutyrate	3715-29-5	48	HMDB0000019	C00141	49	Polar
100000943	209	21232	126858	Lipid	Monoacylglycerol	2896	NAMED	UPWGQKDVAURUGE-KTKRTIGZSA-N	O=C(OC(CO)CO)CCCCCCC/C=C\CCCCCCCC	2-oleoylglycerol (18:1)	2-oleoylglycerol (18:1)	3443-84-3	4478086	HMDB0011537		5319879	Neg
100000961	400	22137	155792	Amino Acid	Urea cycle; Arginine and Proline Metabolism	500	NAMED	QUOGESRFPZDMMT-YFKPBYRVSA-N	N[C@H](C(O)=O)CCCCNC(N)=N	homoarginine	homoarginine	156-86-5	8732	HMDB0000670	C01924	9085	Pos Early
100000963	400	22138	155793	Amino Acid	Urea cycle; Arginine and Proline Metabolism	501	NAMED	XIGSAGMEBXLVJJ-YFKPBYRVSA-N	N[C@H](C(O)=O)CCCCNC(N)=O	homocitrulline	homocitrulline	1190-49-4	58582	HMDB0000679	C02427	65072	Pos Early
100000987	209	32506	125864	Lipid	Monoacylglycerol	2897	NAMED	IEPGNWMPIFDNSD-HZJYTTRNSA-N	O=C(OC(CO)CO)CCCCCCC/C=C\C/C=C\CCCCC	2-linoleoylglycerol (18:2)	2-linoleoylglycerol (18:2)	3443-82-1	4517636	HMDB0011538		5365676	Neg
100000992	400	22287	161030	Amino Acid	Polyamine Metabolism	567	NAMED	ZRALSGWEFCBTJO-UHFFFAOYSA-N	N=C(N)N	guanidine	guanidine	50-01-1	3400	HMDB0001842	C17349	3520	Pos Early
100000997	209	22053	123301	Lipid	Fatty Acid, Monohydroxy	2004	NAMED	FYSSBMZUBSBFJL-UHFFFAOYSA-N	OC(CC(O)=O)CCCCCCC	3-hydroxydecanoate	3-hydroxydecanoate	5561-87-5	24790	HMDB0002203		26612	Neg
100001007	305	27731	147186	Carbohydrate	Pentose Metabolism	1280	NAMED	QXKAIJAYHKCRRA-BXXZVTAOSA-N	OC([C@H](O)[C@H](O)[C@H](O)CO)=O	ribonate	ribonate	5336-08-3	4574162	HMDB0000867	C01685	5460677	Polar
100001022	305	27738	146524	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	4381	NAMED	JPIJQSOTBSSVTP-UHFFFAOYSA-N	O=C(O)C(O)([H])C([H])(O)CO	threonate	threonate	70753-61-6	133224	HMDB0062620,HMDB0000943	C01620	151152,5460407	Polar
100001026	305	27719	152158	Carbohydrate	Fructose, Mannose and Galactose Metabolism	1390	NAMED	RGHNJXZEOKUKBD-MGCNEYSASA-N	O[C@H]([C@H]([C@H]([C@@H](CO)O)O)O)C(O)=O	galactonate	galactonate	299-28-5	114198	HMDB0000565	C00880,C15930	12310779,128869	Polar
100001029	305	27728	146522	Xenobiotics	Chemical	6196	NAMED	DHCLVCXQIBBOPH-UHFFFAOYSA-N	OCC(OP(O)(O)=O)CO	glycerol 2-phosphate	glycerol 2-phosphate	819-83-0	2431	HMDB0002520	C02979	3611397,2526	Polar
100001040	209	27447	126071	Lipid	Monoacylglycerol	2881	NAMED	WECGLUPZRHILCT-HZJYTTRNSA-N	CCCCC/C=C\C/C=C\CCCCCCCC(OCC(O)CO)=O	1-linoleoylglycerol (18:2)	1-linoleoylglycerol (18:2)	2277-28-3	4446589	HMDB0011568		5283469	Neg
100001048	209	33419	125868	Lipid	Monoacylglycerol	2893	NAMED	BBNYCLAREVXOSG-UHFFFAOYSA-N	OCC(CO)OC(CCCCCCCCCCCCCCC)=O	2-palmitoylglycerol (16:0)	2-palmitoylglycerol (16:0)	23470-00-0	110006	HMDB0011533		123409	Neg
100001051	400	30460	155848	Amino Acid	Histidine Metabolism	73	NAMED	BRMWTNUJHUMWMS-LURJTMIESA-N	N[C@H](C(O)=O)CC1=CN(C)C=N1	1-methylhistidine	1-methylhistidine	332-80-9	83153	HMDB0000001	C01152	92105	Pos Early
100001054	400	32412	155935	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	1790	NAMED	QWYFHHGCZUCMBN-SECBINFHSA-N	CCCC(O[C@H](CC([O-])=O)C[N+](C)(C)C)=O	butyrylcarnitine (C4)	butyrylcarnitine (C4)	25576-40-3	184820	HMDB0002013	C02862	439829	Pos Early
100001055	400	33441	156017	Amino Acid	Leucine, Isoleucine and Valine Metabolism	431	NAMED	LRCNOZRCYBNMEP-VIFPVBQESA-N	CC(C)C(O[C@@H](CC([O-])=O)C[N+](C)(C)C)=O	isobutyrylcarnitine (C4)	isobutyrylcarnitine (C4)	25518-49-4		HMDB0000736		168379	Pos Early
100001073	209	31591	126075	Lipid	Androgenic Steroids	3376	NAMED	ZMITXKRGXGRMKS-HLUDHZFRSA-N	C[C@]1([C@](CC2)([H])[C@]3([H])CC[C@@]4([H])C[C@H](OS(=O)(O)=O)CC[C@]4(C)[C@@]3([H])CC1)C2=O	androsterone sulfate	androsterone sulfate	2479-86-9	19988780	HMDB0002759		159663	Neg
100001083	400	32405	155932	Amino Acid	Tryptophan Metabolism	310	NAMED	GOLXRNDWAUTYKT-UHFFFAOYSA-N	OC(CCC1=CNC2=C1C=CC=C2)=O	indolepropionate	indolepropionate	830-96-6	3613	HMDB0002302		3744	Pos Early
100001086	209	31536	125774	Xenobiotics	Food Component/Plant	4997	NAMED	KSPQDMRTZZYQLM-UHFFFAOYSA-N	O=C(NCC(O)=O)C1=CC=CO1	N-(2-furoyl)glycine	N-(2-furoyl)glycine	5657-19-2,5657-19-2	20549	HMDB0000439		21863	Neg
100001092	400	32401	155930	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	4349	NAMED	WWNNZCOKKKDOPX-UHFFFAOYSA-N	C[N+]1=CC(C([O-])=O)=CC=C1	trigonelline (N'-methylnicotinate)	trigonelline (N'-methylnicotinate)	535-83-1	5369	HMDB0000875	C01004	5570	Pos Early
100001103	400	33487	156024	Amino Acid	Glutamate Metabolism	56	NAMED	ZGEYCCHDTIDZAE-UHFFFAOYSA-N	O=C(CCC(C(O)=O)N)OC	glutamate, gamma-methyl ester	glutamate, gamma-methyl ester	1499-55-4,1499-55-4	66546	HMDB0061715		68662	Pos Early
100001106	209	32391	125804	Xenobiotics	Xanthine Metabolism	4625	NAMED	OTSBKHHWSQYEHK-UHFFFAOYSA-N	CN1C(N(C(N2)=C(C1=O)NC2=O)C)=O	1,3-dimethylurate	1,3-dimethylurate	944-73-0	63527	HMDB0001857		70346	Neg
100001108	209	32445	125834	Xenobiotics	Xanthine Metabolism	4630	NAMED	GMSNIKWWOQHZGF-UHFFFAOYSA-N	O=C1N(C)C2=C(N=CN2)C(N1)=O	3-methylxanthine	3-methylxanthine	1076-22-8	63805	HMDB0001886	C16357	70639	Neg
100001112	209	32457	151499	Lipid	Fatty Acid, Monohydroxy	2007	NAMED	MUCMKTPAZLSKTL-UHFFFAOYSA-N	OC(CC(CCCCCCCCC)O)=O	3-hydroxylaurate	3-hydroxylaurate	53941-38-1	85026	HMDB0000387		94216	Neg
100001121	209	31555	124697	Cofactors and Vitamins	Vitamin B6 Metabolism	4479	NAMED	HXACOUQIXZGNBF-UHFFFAOYSA-N	OC1=C(C(O)=O)C(CO)=CN=C1C	pyridoxate	pyridoxate	82-82-6	6467	HMDB0000017	C00847	6723	Neg
100001122	400	31609	155866	Nucleotide	Purine Metabolism, Guanine containing	4217	NAMED	UTAIYTHAJQNQDW-KQYNXXCUSA-N	O=C1C2=C(N=C(N)N1C)N([C@@H]([C@H](O)[C@@H]3O)O[C@@H]3CO)C=N2	N1-methylguanosine	1-methylguanosine	2140-65-0	86996	HMDB0001563		96373	Pos Early
100001126	400	43829	157051	Peptide	Gamma-glutamyl Amino Acid	663	NAMED	AQAKHZVPOOGUCK-XPUUQOCRSA-N	O=C(N[C@H]([C@@](O)=O)C(C)C)CC[C@@H]([C@](O)=O)N	gamma-glutamylvaline	gamma-glutamylvaline	2746-34-1		HMDB0011172		7015683	Pos Early
100001132	209	32394	125806	Peptide	Modified Peptides	1235	NAMED	DTSWLLBBGHRXQH-XPUUQOCRSA-N	O=C1CC[C@@H](C(N[C@@H](C(C)C)C(O)=O)=O)N1	pyroglutamylvaline	pyroglutamylvaline	21282-10-0	134331			152416	Neg
100001162	400	32452	155955	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	1793	NAMED	UFAHZIUFPNSHSL-UHFFFAOYSA-N	[O-]C(CC(OC(CC)=O)C[N+](C)(C)C)=O	propionylcarnitine (C3)	propionylcarnitine (C3)	17298-37-2	96904	HMDB0000824	C03017	107738	Pos Early
100001167	400	35127	156146	Amino Acid	Urea cycle; Arginine and Proline Metabolism	522	NAMED	ONPXCLZMBSJLSP-ALKRTJFJSA-N	OC([C@H]1N(C([C@H]2NCCC2)=O)CC(O)C1)=O	pro-hydroxy-pro	prolylhydroxyproline	18684-24-7	9847785	HMDB0006695		11902893	Pos Early
100001178	209	31787	142911	Lipid	Fatty Acid, Dicarboxylate	1727	NAMED	WMCQWXZMVIETAO-UHFFFAOYSA-N	CCCC1=C(C)C(C(O)=O)=C(CCC(O)=O)O1	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	86879-39-2	110498	HMDB0061112		123979	Neg
100001181	209	32504	125862	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	1584	NAMED	YUFFSWGQGVEMMI-JLNKQSITSA-N	O=C(O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC	docosapentaenoate (n3 DPA; 22:5n3)	docosapentaenoate (DPA; 22:5n3)	2234-74-4		HMDB0006528,HMDB0001976	C16513	6441454	Neg
100001182	209	32415	125824	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	1599	NAMED	HVGRZDASOHMCSK-AVQMFFATSA-N	CCCCC/C=C/C/C=C/CCCCCCCCCCCC(O)=O	docosadienoate (22:2n6)	docosadienoate (22:2n6)	7370-49-2	4445934	HMDB0061714	C16533	5282807	Neg
100001193	209	32980	125866	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	1597	NAMED	TWSWSIQAPQLDBP-CGRWFSSPSA-N	O=C(CCCCC/C=C/C/C=C/C/C=C/C/C=C/CCCCC)O	adrenate (22:4n6)	adrenate (22:4n6)	2091-25-0	4445971	HMDB0002226	C16527	5282844,5497181	Neg
100001197	209	32497	125854	Lipid	Medium Chain Fatty Acid	1522	NAMED	FRPZMMHWLSIFAZ-UHFFFAOYSA-N	O=C(CCCCCCCCC=C)O[H]	10-undecenoate (11:1n1)	10-undecenoate (11:1n1)	1333-28-4	10771160	HMDB0033724	C13910	14891	Neg
100001208	400	32350	155911	Amino Acid	Histidine Metabolism	93	NAMED	ZHCKPJGJQOPTLB-UHFFFAOYSA-N	O=C(O)CC1=CN(C)C=N1	1-methyl-4-imidazoleacetate	1-methyl-4-imidazoleacetate	2625-49-2	68319	HMDB0002820	C05828	75810	Pos Early
100001211	209	32398	125812	Lipid	Fatty Acid, Dicarboxylate	1703	NAMED	CXMXRPHRNRROMY-UHFFFAOYSA-N	OC(CCCCCCCCC(O)=O)=O	sebacate (C10-DC)	sebacate (C10-DC)	111-20-6	5004	HMDB0000792	C08277	5192	Neg
100001216	402	33418	164181	Cofactors and Vitamins	Tocopherol Metabolism	4392	NAMED	GZIFEOYASATJEH-VHFRWLAGSA-N	OC1=CC(C)=C2O[C@@](CCC[C@H](C)CCC[C@H](C)CCCC(C)C)(C)CCC2=C1	delta-tocopherol	delta-tocopherol	119-13-1	83144	HMDB0002902	C14151	92094	Pos Late
100001229	209	33969	126890	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	1579	NAMED	JIWBIWFOSCKQMA-LTKCOYKYSA-N	CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(O)=O	stearidonate (18:4n3)	stearidonate (18:4n3)	111174-40-4	4471933	HMDB0006547	C16300	5312508	Neg
100001232	209	33968	126127	Lipid	Medium Chain Fatty Acid	1526	NAMED	IJBFSOLHRKELLR-FPLPWBNLSA-N	CCCCCC\C=C/CCCC(O)=O	5-dodecenoate (12:1n7)	5-dodecenoate (12:1n7)	2430-94-6	4471803	HMDB0000529		5312378	Neg
100001247	402	33936	158581	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)	1874	NAMED	CXTATJFJDMJMIY-UHFFFAOYSA-N	[O-]C(CC(C[N+](C)(C)C)OC(CCCCCCC)=O)=O	octanoylcarnitine (C8)	octanoylcarnitine (C8)	3671-77-0	110274	HMDB0000791	C02838	123701,11953814	Pos Late
100001251	402	33941	158585	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)	1882	NAMED	LZOSYCMHQXPBFU-UHFFFAOYSA-N	[O-]C(CC(C[N+](C)(C)C)OC(CCCCCCCCC)=O)=O	decanoylcarnitine (C10)	decanoylcarnitine (C10)	1492-27-9	8420677	HMDB0000651		10245190	Pos Late
100001252	209	34386	126902	Xenobiotics	Benzoate Metabolism	4542	NAMED	LXCFILQKKLGQFO-UHFFFAOYSA-N	OC1=CC=C(C(OC)=O)C=C1	methyl-4-hydroxybenzoate	methyl-4-hydroxybenzoate	99-76-3	7176	HMDB0032572	D01400	7456	Neg
100001253	400	33943	156041	Amino Acid	Glutamate Metabolism	50	NAMED	KSMRODHGGIIXDV-YFKPBYRVSA-N	OC([C@H](CCC(N)=O)NC(C)=O)=O	N-acetylglutamine	N-acetylglutamine	2490-97-3	158492	HMDB0006029	C02716	182230	Pos Early
100001263	402	33955	158599	Lipid	Lysophospholipid	2622	NAMED	ASWBNKHCZGQVJV-UHFFFAOYSA-N	O=P(OCC[N+](C)(C)C)([O-])OCC(O)COC(CCCCCCCCCCCCCCC)=O	1-palmitoyl-GPC (16:0)	1-palmitoyl-GPC (16:0)	17364-16-8	78064	HMDB0010382	C04102	86554	Pos Late
100001266	400	33953	156051	Amino Acid	Urea cycle; Arginine and Proline Metabolism	506	NAMED	SNEIUMQYRCDYCH-LURJTMIESA-N	O=C(O)[C@@H](NC(C)=O)CCCNC(N)=N	N-acetylarginine	N-acetylarginine	155-84-0	60752	HMDB0004620	C02562	67427	Pos Early
100001270	402	33952	158596	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)	1884	NAMED	PSHXNVGSVNEJBD-UHFFFAOYSA-N	O=C(CCCCCCCCCCCCC)OC(CC([O-])=O)C[N+](C)(C)C	myristoylcarnitine (C14)	myristoylcarnitine (C14)	18822-89-4	4932274	HMDB0005066		6426854	Pos Late
100001271	402	33961	158603	Lipid	Lysophospholipid	2633	NAMED	IHNKQIMGVNPMTC-RUZDIDTESA-N	O[C@H](COC(CCCCCCCCCCCCCCCCC)=O)COP(OCC[N+](C)(C)C)([O-])=O	1-stearoyl-GPC (18:0)	1-stearoyl-GPC (18:0)	19420-57-6	435389	HMDB0010384		497300	Pos Late
